LAT,LON,UTCTIMESOD,THICK,ELEVATION,FRAME,SURFACE,BOTTOM,QUALITY
75.759961,-44.080026,45822.4134,2928.24,3430.9015,2002051801001,554.90,3483.14,1
75.759899,-44.079543,45822.5113,2927.96,3430.9228,2002051801001,554.93,3482.89,1
75.759836,-44.079060,45822.6093,2927.82,3430.9467,2002051801001,554.94,3482.76,1
75.759773,-44.078578,45822.7072,2927.75,3430.9706,2002051801001,554.97,3482.72,1
75.759711,-44.078095,45822.8052,2927.68,3430.9945,2002051801001,555.00,3482.69,1
75.759648,-44.077612,45822.9031,2927.63,3431.0184,2002051801001,555.02,3482.65,1
75.759585,-44.077130,45823.0011,2927.58,3431.0423,2002051801001,555.05,3482.63,1
75.759523,-44.076647,45823.0990,2927.55,3431.0658,2002051801001,555.06,3482.61,1
75.759460,-44.076165,45823.1970,2927.50,3431.0893,2002051801001,555.09,3482.60,1
75.759397,-44.075682,45823.2950,2927.48,3431.1128,2002051801001,555.11,3482.59,1
75.759335,-44.075199,45823.3930,2927.46,3431.1363,2002051801001,555.14,3482.60,1
75.759272,-44.074717,45823.4909,2927.45,3431.1598,2002051801001,555.15,3482.60,1
75.759209,-44.074234,45823.5889,2927.44,3431.1826,2002051801001,555.18,3482.62,1
75.759146,-44.073752,45823.6868,2927.55,3431.2053,2002051801001,555.21,3482.76,1
75.759083,-44.073270,45823.7847,2927.95,3431.2280,2002051801001,555.23,3483.17,1
75.759020,-44.072787,45823.8826,2928.60,3431.2508,2002051801001,555.26,3483.85,1
75.758958,-44.072305,45823.9805,2929.45,3431.2735,2002051801001,555.27,3484.72,1
75.758895,-44.071823,45824.0784,2930.39,3431.2913,2002051801001,555.29,3485.68,1
75.758832,-44.071341,45824.1763,2931.38,3431.3080,2002051801001,555.30,3486.68,1
75.758769,-44.070858,45824.2743,2932.31,3431.3246,2002051801001,555.33,3487.64,1
75.758706,-44.070376,45824.3722,2933.13,3431.3413,2002051801001,555.35,3488.47,1
75.758643,-44.069894,45824.4701,2933.75,3431.3579,2002051801001,555.36,3489.11,1
75.758580,-44.069412,45824.5680,2934.10,3431.3748,2002051801001,555.38,3489.48,1
75.758517,-44.068930,45824.6659,2934.16,3431.3919,2002051801001,555.39,3489.55,1
75.758454,-44.068448,45824.7638,2934.06,3431.4089,2002051801001,555.41,3489.47,1
75.758391,-44.067967,45824.8617,2933.88,3431.4259,2002051801001,555.42,3489.30,1
75.758328,-44.067485,45824.9596,2933.63,3431.4430,2002051801001,555.44,3489.07,1
75.758265,-44.067003,45825.0576,2933.34,3431.4637,2002051801001,555.47,3488.81,1
75.758202,-44.066520,45825.1555,2933.04,3431.4870,2002051801001,555.48,3488.52,1
75.758139,-44.066038,45825.2535,2932.73,3431.5103,2002051801001,555.51,3488.24,1
75.758076,-44.065556,45825.3515,2932.47,3431.5336,2002051801001,555.54,3488.01,1
75.758013,-44.065074,45825.4494,2932.27,3431.5570,2002051801001,555.56,3487.83,1
75.757950,-44.064592,45825.5474,2932.14,3431.5825,2002051801001,555.59,3487.72,1
75.757887,-44.064110,45825.6453,2932.10,3431.6103,2002051801001,555.62,3487.72,1
75.757824,-44.063628,45825.7432,2932.11,3431.6381,2002051801001,555.63,3487.75,1
75.757761,-44.063147,45825.8411,2932.12,3431.6659,2002051801001,555.66,3487.78,1
75.757698,-44.062665,45825.9391,2932.14,3431.6937,2002051801001,555.69,3487.83,1
75.757635,-44.062183,45826.0370,2932.16,3431.7209,2002051801001,555.72,3487.88,1
75.757572,-44.061701,45826.1349,2932.18,3431.7472,2002051801001,555.75,3487.93,1
75.757509,-44.061219,45826.2328,2932.19,3431.7734,2002051801001,555.78,3487.97,1
75.757446,-44.060738,45826.3308,2932.19,3431.7996,2002051801001,555.80,3487.99,1
75.757383,-44.060256,45826.4287,2932.20,3431.8259,2002051801001,555.83,3488.03,1
75.757320,-44.059774,45826.5266,2932.22,3431.8507,2002051801001,555.86,3488.07,1
75.757257,-44.059292,45826.6246,2932.24,3431.8719,2002051801001,555.87,3488.11,1
75.757194,-44.058811,45826.7225,2932.46,3431.8931,2002051801001,555.78,3488.23,1
75.757131,-44.058329,45826.8205,2932.84,3431.9142,2002051801001,555.66,3488.50,1
75.757068,-44.057847,45826.9184,2933.37,3431.9354,2002051801001,555.52,3488.89,1
75.757004,-44.057365,45827.0164,2933.97,3431.9571,2002051801001,555.40,3489.37,1
75.756941,-44.056884,45827.1143,2934.63,3431.9813,2002051801001,555.28,3489.91,1
75.756878,-44.056402,45827.2122,2935.28,3432.0056,2002051801001,555.16,3490.44,1
75.756815,-44.055920,45827.3101,2935.87,3432.0299,2002051801001,555.05,3490.92,1
75.756752,-44.055438,45827.4081,2936.31,3432.0542,2002051801001,555.06,3491.37,1
