Latitude,Longitude,Time,Thick,Elevation,Frame,Surface,Bottom,Quality,Date
78.33403,-54.6631,48372.8,2128.26,2627.591,2.01E+12,-0.66,2127.6,0,9/13/2007
78.33396,-54.6625,48372.9,2127.99,2627.803,2.01E+12,-0.58,2127.41,0,9/13/2007
78.33389,-54.662,48373.01,2127.78,2628.015,2.01E+12,-0.5,2127.28,0,9/13/2007
78.33382,-54.6614,48373.11,2127.62,2628.227,2.01E+12,-0.41,2127.21,0,9/13/2007
78.33375,-54.6608,48373.22,2127.52,2628.438,2.01E+12,-0.33,2127.19,0,9/13/2007
76.09814,-38.9513,57768.86,2733.83,3223.284,2.01E+12,-11.84,2721.99,0,9/12/2007
76.09819,-38.9519,57768.97,2733.98,3223.067,2.01E+12,-11.84,2722.14,0,9/12/2007
76.09824,-38.9524,57769.07,2734.13,3222.851,2.01E+12,-11.84,2722.28,0,9/12/2007
76.09829,-38.9529,57769.18,2734.28,3222.634,2.01E+12,-11.84,2722.43,0,9/12/2007
76.09834,-38.9535,57769.29,2734.43,3222.418,2.01E+12,-11.84,2722.58,0,9/12/2007
69.18234,-49.9685,74152.23,0,232.4217,2.01E+12,205.24,205.24,1,7/15/2008
69.18236,-49.9692,74152.66,0,232.5353,2.01E+12,204.74,204.74,1,7/15/2008
69.18238,-49.97,74153.09,0,232.6961,2.01E+12,201.23,201.23,1,7/15/2008
69.1824,-49.9708,74153.53,0,232.9007,2.01E+12,204.24,204.24,1,7/15/2008
69.18242,-49.9715,74153.96,0,233.1483,2.01E+12,201.23,201.23,1,7/15/2008
68.85942,-43.5022,65744.41,2646.31,3185.606,2.01E+12,744.97,3391.28,1,6/30/2008
68.85942,-43.5029,65744.77,2641.55,3185.889,2.01E+12,744.97,3386.52,1,6/30/2008
68.85943,-43.5037,65745.12,2634.69,3186.233,2.01E+12,744.97,3379.66,1,6/30/2008
68.85944,-43.5044,65745.48,2644.99,3186.632,2.01E+12,744.97,3389.96,1,6/30/2008
68.85944,-43.5052,65745.84,2642.08,3186.951,2.01E+12,744.97,3387.05,1,6/30/2008
